,Encoding,Sampling,Scaling,Model,Precision Class 0,Precision Class 1,Recall Class 0,Recall Class 1,F1 Score Class 0,F1 Score Class 1,AUC Score,Overall Accuracy,balanced accuracy,fbeta score
0,OHE,None,None,DecisionTree,0.9401098901098901,0.5135699373695198,0.9362517099863201,0.5301724137931034,0.9381768334475669,0.5217391304347826,0.7332120618897118,0.890507404709881,0.7332120618897118,0.5267665952890791
1,OHE,None,None,RandomForest,0.939345782015627,0.6841339155749636,0.9703146374829001,0.5064655172413793,0.9545790996568199,0.5820433436532508,0.7383900773621398,0.9180626365622724,0.7383900773621397,0.5342123209820414
2,OHE,None,None,XGBoost,0.9462191670036393,0.645909645909646,0.960328317373461,0.5700431034482759,0.9532215357458076,0.6056096164854036,0.7651857104108685,0.9163631949502307,0.7651857104108685,0.5837563451776651
3,OHE,None,None,CatBoost,0.9459785522788203,0.6748071979434447,0.965389876880985,0.5657327586206896,0.9555856465809072,0.6154747948417351,0.7655613177508372,0.9203690216071863,0.7655613177508374,0.5846325167037862
4,OHE,None,StandardScaler,DecisionTree,0.9384192439862543,0.4984423676012461,0.9339261285909712,0.5172413793103449,0.9361672951662666,0.5076679005817029,0.725583753950658,0.8869871327992231,0.725583753950658,0.5133689839572192
5,OHE,None,StandardScaler,RandomForest,0.9392455327597617,0.6866764275256223,0.9707250341997264,0.5053879310344828,0.9547258661284898,0.5822470515207946,0.7380564826171045,0.9183054139354212,0.7380564826171045,0.5335608646188852
6,OHE,None,StandardScaler,XGBoost,0.9462191670036393,0.645909645909646,0.960328317373461,0.5700431034482759,0.9532215357458076,0.6056096164854036,0.7651857104108685,0.9163631949502307,0.7651857104108685,0.5837563451776651
7,OHE,None,StandardScaler,CatBoost,0.9459785522788203,0.6748071979434447,0.965389876880985,0.5657327586206896,0.9555856465809072,0.6154747948417351,0.7655613177508372,0.9203690216071863,0.7655613177508374,0.5846325167037862
8,OHE,None,MinMaxScaler,DecisionTree,0.9402390438247012,0.5140771637122002,0.9362517099863201,0.53125,0.9382411405853726,0.5225225225225225,0.7337508549931601,0.8906287933964554,0.7337508549931601,0.5277242560479555
9,OHE,None,MinMaxScaler,RandomForest,0.9392294452535417,0.6846715328467153,0.9704514363885088,0.5053879310344828,0.9545852115992733,0.5815251084934904,0.7379196837114956,0.9180626365622724,0.7379196837114959,0.533318171480555
10,OHE,None,MinMaxScaler,XGBoost,0.9447877485222999,0.6511335012594458,0.9621067031463748,0.5571120689655172,0.9533685780127422,0.6004645760743322,0.7596093860559461,0.9164845836368051,0.7596093860559461,0.5736795383932534
11,OHE,None,MinMaxScaler,CatBoost,0.9465843510938129,0.6734434561626429,0.9648426812585499,0.5711206896551724,0.9556263125804485,0.6180758017492712,0.7679816854568612,0.9204904102937607,0.7679816854568611,0.5890197821738165
12,OHE,Undersample,None,DecisionTree,0.9753655435473617,0.3972250770811922,0.8395348837209302,0.8329741379310345,0.9023672989266284,0.5379262352122478,0.8362545108259823,0.8387958242291819,0.8362545108259823,0.6831035701661365
13,OHE,Undersample,None,RandomForest,0.9905645290260675,0.43778337531486144,0.8473324213406292,0.9364224137931034,0.9133672491336725,0.5966357706831446,0.8918774175668663,0.8573682932750668,0.8918774175668663,0.762682113393014
14,OHE,Undersample,None,XGBoost,0.9880497131931166,0.4347604485219164,0.8482900136798905,0.9191810344827587,0.9128514647431178,0.590311418685121,0.8837355240813245,0.856275795095897,0.8837355240813246,0.7516743038420868
15,OHE,Undersample,None,CatBoost,0.9915308405241291,0.44191919191919193,0.8488372093023255,0.9428879310344828,0.9146521226415094,0.6017881705639615,0.895862570168404,0.8594319009468318,0.8958625701684042,0.7686226282501758
16,OHE,Undersample,StandardScaler,DecisionTree,0.9744889874821739,0.3980280228334198,0.841313269493844,0.8265086206896551,0.9030173996035532,0.5373029772329246,0.8339109450917498,0.8396455450352027,0.8339109450917496,0.680085121475439
17,OHE,Undersample,StandardScaler,RandomForest,0.99056,0.43712273641851107,0.8469220246238031,0.9364224137931034,0.9131268436578172,0.5960219478737997,0.8916722192084532,0.8570041272153436,0.8916722192084532,0.7622807017543861
18,OHE,Undersample,StandardScaler,XGBoost,0.9880497131931166,0.4347604485219164,0.8482900136798905,0.9191810344827587,0.9128514647431178,0.590311418685121,0.8837355240813245,0.856275795095897,0.8837355240813246,0.7516743038420868
19,OHE,Undersample,StandardScaler,CatBoost,0.9915308405241291,0.44191919191919193,0.8488372093023255,0.9428879310344828,0.9146521226415094,0.6017881705639615,0.895862570168404,0.8594319009468318,0.8958625701684042,0.7686226282501758
20,OHE,Undersample,MinMaxScaler,DecisionTree,0.9747699143129165,0.3972107438016529,0.8403556771545828,0.8286637931034483,0.9025859535703792,0.5370111731843575,0.8345097351290156,0.8390386016023307,0.8345097351290156,0.680771954674221
21,OHE,Undersample,MinMaxScaler,RandomForest,0.990406140070355,0.4375,0.8473324213406292,0.9353448275862069,0.9132999115305219,0.5961538461538461,0.891338624463418,0.8572469045884924,0.891338624463418,0.761938202247191
22,OHE,Undersample,MinMaxScaler,XGBoost,0.9883794969754855,0.4371165644171779,0.8493844049247606,0.9213362068965517,0.9136256621542083,0.5929264909847434,0.8853603059106562,0.8574896819616412,0.8853603059106562,0.7542342978122792
23,OHE,Undersample,MinMaxScaler,CatBoost,0.9913765570105397,0.4423076923076923,0.8492476060191518,0.9418103448275862,0.9148246389625699,0.6019283746556474,0.8955289754233691,0.8596746783199806,0.8955289754233691,0.7682841068917019
24,OHE,Oversample,None,DecisionTree,0.9354445797807551,0.5312131919905771,0.9455540355677154,0.4859913793103448,0.9404721409619701,0.5075970737197524,0.7157727074390301,0.8937848992473901,0.7157727074390301,0.49440912080684063
25,OHE,Oversample,None,RandomForest,0.9522114199643982,0.6192513368983957,0.9512995896032832,0.6239224137931034,0.951755286388832,0.6215780998389693,0.7876110016981933,0.91442097596504,0.7876110016981933,0.6229825693996126
26,OHE,Oversample,None,XGBoost,0.9794695039712273,0.5054313099041533,0.8941176470588236,0.8523706896551724,0.9348494600586428,0.6345768150822302,0.8732441683569979,0.8894149065307113,0.873244168356998,0.7494788705703997
27,OHE,Oversample,None,CatBoost,0.9837657411621908,0.49848208864602306,0.8870041039671682,0.884698275862069,0.9328825264369469,0.6376699029126214,0.8858511899146185,0.8867443554260743,0.8858511899146186,0.7660011196118679
28,OHE,Oversample,StandardScaler,DecisionTree,0.9367449436677073,0.5304247990815155,0.9440492476060192,0.4978448275862069,0.9403829120392451,0.5136186770428015,0.720947037596113,0.8937848992473901,0.720947037596113,0.5040366572114336
29,OHE,Oversample,StandardScaler,RandomForest,0.9518401970173759,0.620021528525296,0.9517099863201094,0.6206896551724138,0.9517750872152677,0.6203554119547657,0.7861998207462615,0.91442097596504,0.7861998207462616,0.6205559146735617
30,OHE,Oversample,StandardScaler,XGBoost,0.9794695039712273,0.5054313099041533,0.8941176470588236,0.8523706896551724,0.9348494600586428,0.6345768150822302,0.8732441683569979,0.8894149065307113,0.873244168356998,0.7494788705703997
31,OHE,Oversample,StandardScaler,CatBoost,0.9837657411621908,0.49848208864602306,0.8870041039671682,0.884698275862069,0.9328825264369469,0.6376699029126214,0.8858511899146185,0.8867443554260743,0.8858511899146186,0.7660011196118679
32,OHE,Oversample,MinMaxScaler,DecisionTree,0.936677966101695,0.5341830822711472,0.9450068399452805,0.49676724137931033,0.9408239700374532,0.5147962032384144,0.7208870406622954,0.8945132313668366,0.7208870406622954,0.5038251366120219
33,OHE,Oversample,MinMaxScaler,RandomForest,0.951813826146475,0.617363344051447,0.9511627906976744,0.6206896551724138,0.9514881970578174,0.6190220311660398,0.7859262229350441,0.9139354212187424,0.7859262229350441,0.620021528525296
34,OHE,Oversample,MinMaxScaler,XGBoost,0.9801682692307693,0.5031605562579013,0.8924760601915185,0.8577586206896551,0.9342689388514964,0.6342629482071712,0.8751173404405869,0.8885651857246905,0.8751173404405868,0.7517944843218737
35,OHE,Oversample,MinMaxScaler,CatBoost,0.9834296138643964,0.49337349397590363,0.8849521203830369,0.8825431034482759,0.9315956221198156,0.6329211746522412,0.8837476119156564,0.8846807477543093,0.8837476119156564,0.7622859270290394
36,OHE,SMOTE,None,DecisionTree,0.9432163581099752,0.517,0.9339261285909712,0.5571120689655172,0.9385482540555403,0.5363070539419087,0.7455190987782443,0.8914785142024764,0.7455190987782443,0.5485993208828522
37,OHE,SMOTE,None,RandomForest,0.9440578158458244,0.6657963446475196,0.9649794801641587,0.5495689655172413,0.9544040048707888,0.602125147579693,0.7572742228407,0.9181840252488468,0.7572742228407,0.5694506476105403
38,OHE,SMOTE,None,XGBoost,0.9466792656587473,0.6421686746987951,0.9593707250341997,0.5743534482758621,0.9529827422204104,0.6063708759954494,0.7668620866550309,0.9159990288905074,0.7668620866550309,0.5867459269044475
39,OHE,SMOTE,None,CatBoost,0.9485691144708424,0.6590361445783133,0.9612859097127223,0.5894396551724138,0.9548851746161163,0.6222980659840729,0.7753627824425681,0.9193979121145909,0.7753627824425681,0.6021576398062528
40,OHE,SMOTE,StandardScaler,DecisionTree,0.9427068917796845,0.5079051383399209,0.93187414500684,0.5538793103448276,0.9372592184920198,0.5298969072164947,0.7428767276758338,0.8892935178441369,0.7428767276758338,0.5440304826418291
41,OHE,SMOTE,StandardScaler,RandomForest,0.9439314866854007,0.665359477124183,0.9649794801641587,0.5484913793103449,0.9543394439558953,0.6012994683992913,0.7567354297372517,0.9180626365622724,0.7567354297372517,0.5684610230064776
42,OHE,SMOTE,StandardScaler,XGBoost,0.9459532495608701,0.6308243727598566,0.9577291381668946,0.5689655172413793,0.9518047719393651,0.5983002832861191,0.763347327704137,0.9139354212187424,0.7633473277041369,0.580347329083315
43,OHE,SMOTE,StandardScaler,CatBoost,0.9492626166959816,0.6528925619834711,0.959781121751026,0.5959051724137931,0.9544928916400245,0.6230985915492958,0.7778431470824096,0.9187909686817188,0.7778431470824096,0.6064926518973459
44,OHE,SMOTE,MinMaxScaler,DecisionTree,0.9422492401215805,0.51,0.93296853625171,0.5495689655172413,0.9375859224635689,0.529045643153527,0.7412687508844756,0.8897790725904345,0.7412687508844756,0.5411714770797962
45,OHE,SMOTE,MinMaxScaler,RandomForest,0.9443105756358768,0.6666666666666666,0.9649794801641587,0.5517241379310345,0.9545331529093368,0.6037735849056604,0.7583518090475966,0.9184268026219956,0.7583518090475966,0.5714285714285714
46,OHE,SMOTE,MinMaxScaler,XGBoost,0.9480589747058028,0.6437869822485207,0.9588235294117647,0.5862068965517241,0.9534108685302319,0.6136491821771008,0.7725152129817444,0.9168487496965283,0.7725152129817444,0.596883914856265
47,OHE,SMOTE,MinMaxScaler,CatBoost,0.949290060851927,0.6559905100830368,0.960328317373461,0.5959051724137931,0.9547772866371983,0.624505928853755,0.7781167448936271,0.9192765234280165,0.778116744893627,0.6070252469813392
48,OHE,TomekLinks,None,DecisionTree,0.9471850613154961,0.5169491525423728,0.9298221614227086,0.5915948275862069,0.9384233052602512,0.5517587939698492,0.7607084945044578,0.8917212915756252,0.7607084945044578,0.5749895266024299
49,OHE,TomekLinks,None,RandomForest,0.9498709414481729,0.637400228050171,0.9564979480164159,0.6023706896551724,0.9531729261809011,0.6193905817174515,0.7794343188357941,0.9166059723233795,0.7794343188357942,0.6090651558073654
50,OHE,TomekLinks,None,XGBoost,0.9554394168615046,0.6246122026887281,0.9503419972640219,0.6508620689655172,0.9528838899938276,0.637467018469657,0.8006020331147697,0.9166059723233795,0.8006020331147696,0.645437059200684
51,OHE,TomekLinks,None,CatBoost,0.9559610371793112,0.6396206533192834,0.9532147742818058,0.6540948275862069,0.9545859305431879,0.6467767714437932,0.8036548009340063,0.9195193008011653,0.8036548009340063,0.6511478223557176
52,OHE,TomekLinks,StandardScaler,DecisionTree,0.9477279063284081,0.5197368421052632,0.9300957592339262,0.5959051724137931,0.9388290527478597,0.5552208835341366,0.7630004658238596,0.8924496236950716,0.7630004658238596,0.5789363484087102
53,OHE,TomekLinks,StandardScaler,RandomForest,0.9500407276676622,0.6422018348623854,0.9573187414500683,0.603448275862069,0.9536658490051786,0.6222222222222221,0.7803835086560686,0.9174556931294003,0.7803835086560686,0.6108202443280978
54,OHE,TomekLinks,StandardScaler,XGBoost,0.9554394168615046,0.6246122026887281,0.9503419972640219,0.6508620689655172,0.9528838899938276,0.637467018469657,0.8006020331147697,0.9166059723233795,0.8006020331147696,0.645437059200684
55,OHE,TomekLinks,StandardScaler,CatBoost,0.9559610371793112,0.6396206533192834,0.9532147742818058,0.6540948275862069,0.9545859305431879,0.6467767714437932,0.8036548009340063,0.9195193008011653,0.8036548009340063,0.6511478223557176
56,OHE,TomekLinks,MinMaxScaler,DecisionTree,0.9479921918572225,0.5206378986866792,0.9300957592339262,0.5980603448275862,0.9389587073608617,0.5566700100300903,0.7640780520307562,0.8926924010682205,0.7640780520307562,0.5807869401423189
57,OHE,TomekLinks,MinMaxScaler,RandomForest,0.9498777506112469,0.6381278538812786,0.9566347469220247,0.6023706896551724,0.9532442748091603,0.6197339246119733,0.7795027182885985,0.9167273610099539,0.7795027182885985,0.6091979075850044
58,OHE,TomekLinks,MinMaxScaler,XGBoost,0.9559410711827069,0.6235897435897436,0.9497948016415869,0.6551724137931034,0.9528580251149387,0.6389910667367315,0.8024836077173452,0.9166059723233795,0.8024836077173452,0.6486025176018775
59,OHE,TomekLinks,MinMaxScaler,CatBoost,0.9565098093016875,0.6438356164383562,0.9537619699042408,0.6584051724137931,0.9551339132817317,0.6510388918486948,0.806083571159017,0.9204904102937607,0.806083571159017,0.6554387470499894
60,Binary,None,None,DecisionTree,0.9392940530146958,0.5078369905956113,0.9355677154582763,0.5237068965517241,0.9374271811390584,0.5156498673740053,0.7296373060050002,0.8891721291575625,0.7296373060050002,0.5204540586849431
61,Binary,None,None,RandomForest,0.9400714380209022,0.6995581737849779,0.9720930232558139,0.5118534482758621,0.955814109893066,0.5911636589919104,0.741973235765838,0.9202476329206118,0.741973235765838,0.5408790708266911
62,Binary,None,None,XGBoost,0.9458697112155809,0.6620428751576293,0.9633378932968536,0.5657327586206896,0.9545238902067096,0.6101104009296919,0.7645353259587715,0.91854819130857,0.7645353259587716,0.5826859045504995
63,Binary,None,None,CatBoost,0.9476439790575916,0.6818757921419518,0.9656634746922025,0.5797413793103449,0.9565688732298936,0.6266744321490973,0.7727024270012736,0.9221898519058024,0.7727024270012737,0.5976449677849367
64,Binary,None,StandardScaler,DecisionTree,0.9395604395604396,0.5093945720250522,0.9357045143638851,0.5258620689655172,0.9376285126799178,0.5174973488865323,0.7307832916647014,0.8895362952172857,0.7307832916647012,0.5224839400428265
65,Binary,None,StandardScaler,RandomForest,0.9399152991000529,0.6950146627565983,0.9715458276333789,0.5107758620689655,0.9554688551056101,0.5888198757763975,0.7411608448511722,0.9196406894877397,0.7411608448511722,0.5393718707328176
66,Binary,None,StandardScaler,XGBoost,0.9458697112155809,0.6620428751576293,0.9633378932968536,0.5657327586206896,0.9545238902067096,0.6101104009296919,0.7645353259587715,0.91854819130857,0.7645353259587716,0.5826859045504995
67,Binary,None,StandardScaler,CatBoost,0.9476439790575916,0.6818757921419518,0.9656634746922025,0.5797413793103449,0.9565688732298936,0.6266744321490973,0.7727024270012736,0.9221898519058024,0.7727024270012737,0.5976449677849367
68,Binary,None,MinMaxScaler,DecisionTree,0.9402533039647577,0.5071868583162218,0.9343365253077975,0.5323275862068966,0.9372855770550295,0.519453207150368,0.7333320557573471,0.8890507404709881,0.7333320557573471,0.5271020059752454
69,Binary,None,MinMaxScaler,RandomForest,0.9401720714758438,0.6969253294289898,0.9716826265389877,0.5129310344827587,0.9556676757484023,0.5909373060211048,0.7423068305108732,0.920004855547463,0.7423068305108732,0.5415244596131968
70,Binary,None,MinMaxScaler,XGBoost,0.9447951645399597,0.6519546027742749,0.9622435020519836,0.5571120689655172,0.9534395120298204,0.6008134805345728,0.7596777855087504,0.9166059723233795,0.7596777855087504,0.5738068812430632
71,Binary,None,MinMaxScaler,CatBoost,0.9460836909871244,0.6726342710997443,0.9649794801641587,0.5668103448275862,0.9554381687660841,0.6152046783625731,0.7658949124958725,0.9201262442340374,0.7658949124958725,0.5852247441032488
72,Binary,Undersample,None,DecisionTree,0.9768621236133121,0.40560165975103735,0.8432284541723666,0.8426724137931034,0.9051395007342142,0.5476190476190476,0.8429504339827351,0.8431658169458607,0.842950433982735,0.6932624113475176
73,Binary,Undersample,None,RandomForest,0.9907259354013431,0.43850806451612906,0.8476060191518467,0.9375,0.9135948097906221,0.5975274725274726,0.8925530095759233,0.85773245933479,0.8925530095759233,0.7636938202247192
74,Binary,Undersample,None,XGBoost,0.9881027918781726,0.44105480868665975,0.8521203830369357,0.9191810344827587,0.915087410019098,0.5960866526904263,0.8856507087598472,0.8596746783199806,0.8856507087598472,0.7554020545518951
75,Binary,Undersample,None,CatBoost,0.9912140575079872,0.4413549039433772,0.8488372093023255,0.9407327586206896,0.9145173176123802,0.6008258774948383,0.8947849839615075,0.8591891235736829,0.8947849839615076,0.7671353251318102
76,Binary,Undersample,StandardScaler,DecisionTree,0.9749763928234183,0.40817409766454354,0.847469220246238,0.8286637931034483,0.9067622950819672,0.5469416785206259,0.8380665066748432,0.8453508133042,0.8380665066748432,0.6870979270907791
77,Binary,Undersample,StandardScaler,RandomForest,0.9908829174664108,0.4385699899295065,0.847469220246238,0.9385775862068966,0.9135820675416605,0.5978037062457103,0.8930234032265674,0.85773245933479,0.8930234032265674,0.7643032643032643
78,Binary,Undersample,StandardScaler,XGBoost,0.9881027918781726,0.44105480868665975,0.8521203830369357,0.9191810344827587,0.915087410019098,0.5960866526904263,0.8856507087598472,0.8596746783199806,0.8856507087598472,0.7554020545518951
79,Binary,Undersample,StandardScaler,CatBoost,0.9912140575079872,0.4413549039433772,0.8488372093023255,0.9407327586206896,0.9145173176123802,0.6008258774948383,0.8947849839615075,0.8591891235736829,0.8947849839615076,0.7671353251318102
80,Binary,Undersample,MinMaxScaler,DecisionTree,0.9763904294089685,0.40425531914893614,0.8429548563611491,0.8394396551724138,0.9047793847735114,0.5457092819614711,0.8411972557667814,0.8425588735129886,0.8411972557667815,0.6907253059053022
81,Binary,Undersample,MinMaxScaler,RandomForest,0.9908843754997602,0.4387909319899244,0.8476060191518467,0.9385775862068966,0.9136621691366218,0.5980089255063509,0.8930918026793717,0.8578538480213644,0.8930918026793717,0.7644374232051958
82,Binary,Undersample,MinMaxScaler,XGBoost,0.988527724665392,0.436289500509684,0.8487004103967168,0.9224137931034483,0.9132930958339467,0.5923875432525952,0.8855571017500826,0.8570041272153436,0.8855571017500825,0.7543179414874869
83,Binary,Undersample,MinMaxScaler,CatBoost,0.9912140575079872,0.4413549039433772,0.8488372093023255,0.9407327586206896,0.9145173176123802,0.6008258774948383,0.8947849839615075,0.8591891235736829,0.8947849839615076,0.7671353251318102
84,Binary,Oversample,None,DecisionTree,0.9380170893801709,0.5445086705202312,0.9461012311901504,0.5075431034482759,0.9420418170673568,0.5253764640267709,0.7268221673192131,0.896698227725176,0.7268221673192132,0.5145291675770156
85,Binary,Oversample,None,RandomForest,0.9535298149417409,0.6246023329798516,0.9515731874145007,0.634698275862069,0.9525504964053406,0.6296098343132015,0.7931357316382849,0.915877640203933,0.7931357316382848,0.6326530612244898
86,Binary,Oversample,None,XGBoost,0.9780269058295964,0.5045219638242894,0.8950752393980849,0.8415948275862069,0.9347142857142857,0.6308562197092085,0.8683350334921457,0.8890507404709881,0.8683350334921458,0.7423954372623573
87,Binary,Oversample,None,CatBoost,0.9849200304645849,0.4955170352659892,0.8845417236662106,0.8933189655172413,0.932036036036036,0.6374471357170319,0.888930344591726,0.8855304685603301,0.888930344591726,0.7697307335190343
88,Binary,Oversample,StandardScaler,DecisionTree,0.937610199376102,0.5410404624277456,0.9456908344733242,0.5043103448275862,0.9416331812299938,0.5220301171221415,0.7250005896504553,0.8959698956057296,0.7250005896504552,0.5112519117325759
89,Binary,Oversample,StandardScaler,RandomForest,0.9532556545579164,0.6224814422057264,0.9512995896032832,0.6325431034482759,0.9522766175967136,0.6274719401389631,0.7919213465257795,0.9153920854576354,0.7919213465257795,0.6305048335123523
